type_specimen,synonyms,repository,other_notes,questionable_id,scientific_name,collection_site,location_english
NA,NA,USNM,amphipod taken by night-lighting,FALSE,Pontharpinia sp.,San Lucas Cove,San Lucas Cove
NA,NA,NA,a wide-ranging isopod known from central California to Ecuador; S&R took these specimens night-lighting,FALSE,Eurydice caudata,San Lucas Cove,San Lucas Cove
NA,NA,NA,NA,FALSE,Ligia occidentalis,San Lucas Cove,San Lucas Cove
NA,NA,USNM,NA,FALSE,Paranthura sp.,San Lucas Cove,San Lucas Cove
NA,NA,USNM,"almost certainly a mistaken identification, as P. gilliana is a Californian species; 3 species in this genus occur in the Gulf: P. richardsoni, P. sculpta, P. spinulosa",TRUE,Paracerceis gilliana,San Lucas Cove,San Lucas Cove
NA,NA,USNM,sand crab; noted as Emerita sp. in Sea of Cortez,FALSE,Albunea lucasii,San Lucas Cove,San Lucas Cove
NA,NA,CAS,NA,FALSE,Pagurus albus,San Lucas Cove,San Lucas Cove
NA,NA,NA,the blue-spotted hermit crab; perhaps the most common hermit in the Gulf,FALSE,Clibanarius digueti,San Lucas Cove,San Lucas Cove
NA,NA,NA,NA,FALSE,Dardanus sinistripes,San Lucas Cove,San Lucas Cove
NA,NA,NA,"a subtidal, tropical hermit crab",FALSE,Paguristes digueti,San Lucas Cove,San Lucas Cove
NA,NA,NA,NA,FALSE,Pagurus benedicti,San Lucas Cove,San Lucas Cove
NA,"Dromidia larraburei, a junior synonym",NA,pelagic larvae collected by night-lighting,FALSE,Moreiradromia sarraburei,San Lucas Cove,San Lucas Cove
NA,NA,NA,"the pugnacious blue swimming crab; S&R noted this was the most common crab in the Gulf, “found at practically every suitable station,” and this is still the case [Presence assumed]",FALSE,Callinectes bellicosus,San Lucas Cove,San Lucas Cove
NA,NA,NA,Sally Lightfoot crab; taken at all rocky shore stations,FALSE,Grapsus grapsus,San Lucas Cove,San Lucas Cove
NA,NA,NA,"S&R felt this was the only species of Uca they collected on the expedition; however, the taxonomy of this genus is desperately in need of revision and some species are difficult to differentiate",FALSE,Uca crenulata,San Lucas Cove,San Lucas Cove
NA,"Felaniella sericata, a junior synonym",NA,NA,FALSE,Felaniella cornea,San Lucas Cove,San Lucas Cove
NA,"Chione succincta, a junior synonym",NA,one of the most common bivalves in the Gulf,FALSE,Chione californiensis,San Lucas Cove,San Lucas Cove
NA,"Macrocallista squalida, a junior synonym",NA,"one of two species called “chocolata clam,” or “almeja chocolata,” in the Gulf",FALSE,Megapitaria squalida,San Lucas Cove,San Lucas Cove
NA,NA,NA,a single specimen; this is the only station this subtidal species was collected,FALSE,Tagelus affinis,San Lucas Cove,San Lucas Cove
NA,NA,NA,the “Pismo-like clams” of the Narrative,TRUE,Tivela planulata,San Lucas Cove,San Lucas Cove
NA,Oliva dama,NA,NA,FALSE,Olivella dama,San Lucas Cove,San Lucas Cove
NA,NA,NA,"this is an offshore species that is frequently capture, and killed, by shrimp trawlers; the “large snail….from San Lucas Cove sand flats” of the Narrative",FALSE,Fusinus dupetitthouarsi,San Lucas Cove,San Lucas Cove
NA,Nassarius ioaedes,NA,NA,FALSE,Nassarius iodes,San Lucas Cove,San Lucas Cove
NA,"Nassarius tegula, a junior synonym",NA,NA,FALSE,Nassarius tiarula,San Lucas Cove,San Lucas Cove
NA,NA,NA,NA,FALSE,Strombina maculosa,San Lucas Cove,San Lucas Cove
NA,NA,NA,likely a misidentification of Murex elenensis of M. recurvirostris,TRUE,Murex rectirostris,San Lucas Cove,San Lucas Cove
NA,"Thais tuberculata, a junior synonym",NA,NA,FALSE,Mancinella tuberculata,San Lucas Cove,San Lucas Cove
NA,NA,NA,NA,FALSE,Strombus gracilior,San Lucas Cove,San Lucas Cove
NA,NA,NA,NA,FALSE,Natica chemnitzii,San Lucas Cove,San Lucas Cove
NA,"Callopoma fluctuosum, a junior synonym",NA,the most common mid-size gastropod in the Gulf,FALSE,Turbo fluctuosus,San Lucas Cove,San Lucas Cove
NA,NA,NA,acorn worm,FALSE,Balanoglossus sp.,San Lucas Cove,San Lucas Cove
NA,NA,NA,the common Gulf lancelet; referred to as “Amphioxus” by Ricketts,FALSE,Branchiostoma californiense,San Lucas Cove,San Lucas Cove
NA,NA,NA,NA,FALSE,Blue sponges,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,NA,TRUE,Large yellow sponge (Cliona californiana?),"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,NA,TRUE,White sponge (Steletta coccinea?),"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,a solitary coral and one of 11 Astrangia species in the Gulf; considered a junior synonym of A. haimei by Squires 1959,FALSE,Astrangia pedersenii,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,"“small P. agassizii”; as Physcosoma agassizii, a junior synonym",FALSE,Phascolosoma sp.,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,the ubiquitous fire worm; found at every rocky shore site the expedition visited,FALSE,Eurythoe complanata,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,NA,FALSE,Heliaster kubiniji,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,NA,FALSE,Astrometis sertulifera,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,NA,FALSE,Linckia columbiae,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,USNM,NA,FALSE,Ophioderma teres,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,NA,FALSE,Ophionereis annulata,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,NA,FALSE,Holothuria lubrica,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,one of the most common urchins in the Gulf; collected “at practically every suitable collecting place”,FALSE,Eucidaris thouarsii,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,probably Arbacia stellata [formerly A. incisa] or Echinometra vanbrunti,FALSE,Long-spined purple urchin,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,heart urchin,FALSE,Agassizia scrobiculata,"Bahía San Carlos, Baja California",San Carlos Bay
NA,Tetraclita squamosa stalactifera,NA,NA,FALSE,Tetraclita stalactifera,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,USNM,NA,FALSE,Ligia occidentalis,"Bahía San Carlos, Baja California",San Carlos Bay
NA,Ligyda exotica,NA,NA,FALSE,Ligia exotica,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,USNM,a wide-ranging isopod known from central California to Ecuador; S&R took these specimens by night-lighting,FALSE,Eurydice caudata,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,USNM,"an offshore, deeper-water penaeid shrimp",FALSE,Sicyonia penicillata,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,USNM,mysid,FALSE,Siriella pacifica,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,USNM,amphipod,FALSE,Elasmopus sp.,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,USNM,amphipod; possibly 2 different species,FALSE,Pontharpinia sp.,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,USNM,larvae taken by night-lighting,FALSE,Pseudosquilla lessonii,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,Sally Lightfoot crab; taken at all rocky shore stations,FALSE,Grapsus grapsus,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,NA,FALSE,Eucinetops panamensis,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,"the pugnacious blue swimming crab; S&R noted this was the most common crab in the Gulf, “found at practically every suitable station,” and this is still the case [presence assumed]",FALSE,Callinectes bellicosus,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,"a spectacularly sculptured xanthid crab, once common but now becoming scarce",FALSE,Glyptoxanthus meandricus,"Bahía San Carlos, Baja California",San Carlos Bay
NA,"Leptodius occidentalis, a junior synonym",CAS,one of the most common and abundant small crabs in the Gulf,FALSE,Cataleptodius occidentalis,"Bahía San Carlos, Baja California",San Carlos Bay
NA,"Leptodius cooksoni, a junior synonym",NA,NA,FALSE,Xanthodius cooksoni,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,NA,FALSE,Pilumnus gonzalensis,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,"“old lumpy claws”; a very common, small, pugnacious xanthid crab ranging from the Upper Gulf to Peru",FALSE,Eriphia squamata,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,one of the most attractive hermit crabs in the Gulf,FALSE,Calcinus californiensis,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,"one of the most common porcelain crabs in the Gulf; likely this species was at every rocky shore they visited, even though they collected it only 4 times",FALSE,Petrolisthes gracilis,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,a very common porcelain crab in the Gulf,FALSE,Petrolithes hirtipes,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,a common porcelain crab in the Gulf,FALSE,Petrolisthes nigrunguiculatus,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,NA,FALSE,Petrolisthes sp.,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,NA,FALSE,Acanthochitona sp.,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,abundant at this site,FALSE,Acanthochitona exquisita,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,S&R noted this is the commonest chiton in the Gulf; it remains so today,FALSE,Chiton virgulatus,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,NA,FALSE,Ischnochiton tridentatus,"Bahía San Carlos, Baja California",San Carlos Bay
NA,"Ischnochiton conspicuus, a misspelling of the junior synonym in Phyletic Catalogue",NA,NA,FALSE,Stenoplax sonorana,"Bahía San Carlos, Baja California",San Carlos Bay
NA,"Fossularca solida, a junior synonym",NA,the common “garbanzo clam” of S&R,FALSE,Arcopsis solida,"Bahía San Carlos, Baja California",San Carlos Bay
NA,"I. chemnitziana d’Orbigny, a junior synonym",NA,NA,FALSE,Isognomon recognitus,"Bahía San Carlos, Baja California",San Carlos Bay
NA,"Brachidontes multiformis, a junior synonym",NA,a very common small mytilid mussel in the Gulf,FALSE,Brachidontes semilaevis,"Bahía San Carlos, Baja California",San Carlos Bay
NA,Carditamera affinis californica,NA,"S&R considered this “the commonest bivalve in the Gulf”; common in shell middens in the Northern Gulf, where they appear to have been fashioned into pendants",FALSE,Carditamera affinis,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,“Pismo clams” of the Narrative,TRUE,Tivela planulata,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,NA,FALSE,Oliva venulata,"Bahía San Carlos, Baja California",San Carlos Bay
NA,"Nitidella guttata, a junior synonym",NA,"this species, one of the most common small snails in the Gulf, is considered a synonym of Mitrella/Columbella ocellata by some workers, but the latter is a trans-Atlantic species",FALSE,Mitrella guttata,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,NA,FALSE,Acanthina lugubris,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,"today, this is probably the most common species of Tegula in the Gulf",FALSE,Tegula rugosa,"Bahía San Carlos, Baja California",San Carlos Bay
NA,"Crepidula squama, a junior synonym",CAS,NA,FALSE,Crepidula striolata,"Bahía San Carlos, Baja California",San Carlos Bay
NA,Onchidium lesliei,CAS,NA,FALSE,Hoffmannola lesliei,"Bahía San Carlos, Baja California",San Carlos Bay
NA,"Haminoea strongi, a junior synonym",CAS,NA,FALSE,Haminoea virescens,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,NA,FALSE,Undetermined bubble shell,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,NA,FALSE,Octopus bimaculatus,"Bahía San Carlos, Baja California",San Carlos Bay
NA,NA,NA,"the most common calcareous sponge in the Gulf, and one of the most common sponges in the Tropical East Pacific",FALSE,Leucetta losangelensis,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,"there seems to be no subsequent record of this California species from the Gulf; 4 other species in this genus are known from the Gulf, and the S&R specimen was likely one of these: S. bertholetti, S. mexicana, S. scruposa, S. varians",FALSE,Scrupocellaria diegensis,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,the ubiquitous fire worm; found at every rocky shore site the expedition visited,FALSE,Eurythoe complanata,Bahía de San Francisquito,San Francisquito Bay
NA,S. dysteri,NA,tube worms with rusty red gills; S&R noted this worm “resembles Filograna”,FALSE,Salmacina tribranchiata,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,NA,FALSE,Astrometis sertulifera,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,NA,FALSE,Heliaster kubiniji,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,NA,FALSE,Phataria unifascialis,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,NA,FALSE,Ophioderma teres,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,one of the most common urchins in the Gulf; collected “at practically every suitable collecting place”,FALSE,Eucidaris thouarsii,Bahía de San Francisquito,San Francisquito Bay
NA,NA,USNM,NA,FALSE,Chthamalus anisopoma,Bahía de San Francisquito,San Francisquito Bay
NA,"Tetraclita squamosa stalactifera, and as Tetraclita squamosa stalactifera, f. confinis",USNM,NA,FALSE,Tetraclita stalactifera,Bahía de San Francisquito,San Francisquito Bay
NA,NA,USNM,"reported as Rocinella aries, a misspelling of the junior synonym",FALSE,Rocinela signata,Bahía de San Francisquito,San Francisquito Bay
NA,NA,USNM,"the Mexican spiny lobster, with the odd range of San Luis Obispo, California, to Cabo San Lucas, including the Central and Southern Gulf; the expedition found only dried carapaces on the shore here and in several other bays",FALSE,Panulirus interruptus,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,the blue-spotted hermit crab; perhaps the most common hermit in the Gulf,FALSE,Clibanarius digueti,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,a common porcelain crab in the Gulf,FALSE,Petrolisthes nigrunguiculatus,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,burrowed in beach sand,FALSE,Emerita rathbunae,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,"the pugnacious blue swimming crab; S&R noted this was the most common crab in the Gulf, “found at practically every suitable station,” and this is still the case [presence assumed]",FALSE,Callinectes bellicosus,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,Sally Lightfoot crab; taken at all rocky shore stations,FALSE,Grapsus grapsus,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,"one of the most common invertebrates of the temperate NW Pacific coast, but probably always rare in the Gulf; a temperate disjunct species ranging from the Pacific Northwest to Magdalena Bay [SW Baja], reappearing in the Northern and Central Gulf. The last reliable records in the Gulf seem to be from the late 1960s, and it might be that sea surface temps are now too warm for this species to survive in the Sea of Cortez. Also reported from Japan and Korea. Randall’s original type locality of Hawaii was almost certainly an error.",FALSE,Pachygrapsus crassipes,Bahía de San Francisquito,San Francisquito Bay
NA,G. lividus,NA,NA,FALSE,Geograpsus stormi,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,NA,FALSE,Ischnochiton tridentatus,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,NA,FALSE,Acanthina lugubris,Bahía de San Francisquito,San Francisquito Bay
NA,"Acmaea daliana, a junior synonym",NA,NA,FALSE,Lottia dalliana,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,NA,FALSE,Tegula sp.,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,"the genus Purpura has been split into several genera, including Plicopurpura and Pteropurpura; at least 6 species in these 2 genera occur in the Gulf today",FALSE,Purpura sp.,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,this tunicate was mistaken for a white sponge in the Narrative,FALSE,Didemnum carnulentum,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,NA,FALSE,Cystodytes dellechiajei,Bahía de San Francisquito,San Francisquito Bay
NA,NA,NA,NA,FALSE,Geodia sp.,Bahía de Los Ángeles,Angeles Bay
NA,C. celata,NA,NA,FALSE,Cliona californiana,Bahía de Los Ángeles,Angeles Bay
NA,Steletta estrella,NA,NA,FALSE,Stelletta clarella,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Tethya aurantia,Bahía de Los Ángeles,Angeles Bay
NA,NA,USNM,anemone,FALSE,Anthopleura dowii,Bahía de Los Ángeles,Angeles Bay
NA,NA,USNM,NA,FALSE,Anthothoe panamensis,Bahía de Los Ángeles,Angeles Bay
NA,NA,USNM,NA,FALSE,Bunodosoma californica,Bahía de Los Ángeles,Angeles Bay
syntype,NA,USNM,NA,FALSE,Palythoa ignota,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,undescribed species of flatworm/Platyhelminthes,FALSE,Latocestus sp.,Bahía de Los Ángeles,Angeles Bay
NA,NA,CAS,the largest and most distinctive nemertean in the Gulf,FALSE,Baseodiscus mexicanus,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,one of the most widespread bryozoans in the Gulf; ranging from central California to Panama,FALSE,Bugula neretina,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,"4 species in this genus are known from the Gulf: S. bertholetti, S. mexicana, S. scruposa, S. varians",FALSE,Scrupocellaria sp.,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,a well-known California bryozoan ranging south all the way to Colombia and the Galapagos Islands,FALSE,Thalamoporella californica,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,the ubiquitous fire worm; found at every rocky shore site the expedition visited,FALSE,Eurythoe complanata,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,a circumtropical terebellid polychaete,FALSE,Thelepus setosus,Bahía de Los Ángeles,Angeles Bay
NA,S. dysteri,NA,tube worms with rusty red gills; S&R noted this worm “resembles Filograna”,FALSE,Salmacina tribranchiata,Bahía de Los Ángeles,Angeles Bay
NA,NA,CAS,NA,FALSE,Heliaster kubiniji,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Phataria unifascialis,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Linckia columbiae,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Mithrodia bradleyi,Bahía de Los Ángeles,Angeles Bay
NA,Othelia tenuispina,NA,"noted to be more common the farther north they traveled; once very common, now less so due to uncontrolled beach tourism",FALSE,Echinaster tenuispina,Bahía de Los Ángeles,Angeles Bay
NA,NA,CAS,"a very common sand sea star in the Gulf, but collected by S&R only at this single location",FALSE,Astropecten armatus,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Ophionereis annulata,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Ophioderma teres,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Ophiocoma aethiops,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,a common Tropical East Pacific 6-armed brittle star,FALSE,Ophiactis savignyi,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,one of the most common urchins in the Gulf; collected “at practically every suitable collecting place”,FALSE,Eucidaris thouarsii,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Arbacia incisa,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Encope californica,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Encope grandis,Bahía de Los Ángeles,Angeles Bay
NA,Slenkothuria lubrica,NA,the sulfur cucumber; the most common sea cucumber taken during the expedition and the most common littoral cucumber in the Sea of Cortez today,FALSE,Holothuria lubrica,Bahía de Los Ángeles,Angeles Bay
NA,Cucumaria californica,NA,found only at this location,FALSE,Pseudocnus californicus,Bahía de Los Ángeles,Angeles Bay
NA,NA,CAS,NA,FALSE,Neothyone gibbosa,Bahía de Los Ángeles,Angeles Bay
NA,NA,CAS,found only at this locality,FALSE,Pentamera chierchia,Bahía de Los Ángeles,Angeles Bay
NA,Leptosynapta sp.,NA,"taken only at this locality, and possibly also Puerto Refugio, Isla Ángel de la Guarda",FALSE,Epitomapta tobogae,Bahía de Los Ángeles,Angeles Bay
NA,Ligyda occidentalis,NA,"although collected only from this single site, this isopod is common on virtually all rocky shores in the Gulf north of Bahía La Paz, though difficult to capture",FALSE,Ligia occidentalis,Bahía de Los Ángeles,Angeles Bay
NA,Tetraclita squamosa stalactifera,NA,NA,FALSE,Tetraclita stalactifera,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Chthamalus anisopoma,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,the blue-spotted hermit crab; perhaps the most common hermit in the Gulf,FALSE,Clibanarius digueti,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,"one of the most common porcelain crabs in the Gulf; likely this species was at every rocky shore they visited, even though they collected it only 4 times",FALSE,Petrolisthes gracilis,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,a very common porcelain crab in the Gulf,FALSE,Petrolisthes hirtipes,Bahía de Los Ángeles,Angeles Bay
NA,Platypodia rotundata,NA,NA,FALSE,Platypodiella rotundata,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Eurypanopeus planissimus,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Pilumnus gonzalensis,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,"“old lumpy claws”; a very common, small, pugnacious xanthid crab ranging from the Upper Gulf to Peru",FALSE,Eriphia squamata,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,"a common Tropical East Pacific pea crab, Pinnotheridae; collected from a “sandy-tubed worm on a sand flat”",FALSE,Pinnixa transversalis,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,Sally Lightfoot crab; taken at all rocky shore stations,FALSE,Grapsus grapsus,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,S&R initially misidentified this species as Hemigrapsus oregonensis; S. Glassell presumably made the correction,TRUE,Geotice americanus,Bahía de Los Ángeles,Angeles Bay
NA,NA,USNM,NA,FALSE,Panulirus interruptus,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,abundant at this site,FALSE,Acanthochitona exquisita,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,"the “small, hairy chiton” of the Narrative; C. lurida ranges from the Central Gulf to Colombia",FALSE,Chaetopleura aff. lurida,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,S&R note this is the commonest chiton in the Gulf; it remains so today,FALSE,Chiton virgulatus,Bahía de Los Ángeles,Angeles Bay
NA,"Ischnochiton clathratus, a junior synonym",NA,NA,FALSE,Lepidozona clathrata,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,A minute Mopalia-like form,Bahía de Los Ángeles,Angeles Bay
NA,"Fossularca solida, a junior synonym",NA,the common “garbanzo clam” of the Gulf,FALSE,Arcopsis solida,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,the “triangular Arca” of the Narrative,FALSE,Fugleria illota,Bahía de Los Ángeles,Angeles Bay
NA,"I. anomioides, a junior synonym",NA,"very common, thin rock oyster on rocky shores in the Gulf",FALSE,Isognomon janus,Bahía de Los Ángeles,Angeles Bay
NA,"O. mexicana, a junior synonym",NA,"this is a fairly common edible oyster found throughout the Gulf, and it is also common in Northern Gulf shell middens; this was the “rock oysters” reported from Bahía de los Ángeles in the Narrative",FALSE,Saccostrea palmula,Bahía de Los Ángeles,Angeles Bay
NA,Carditamera affinis californica,NA,"S&R considered this “the commonest bivalve in the Gulf”; common in shell middens in the Northern Gulf, where they appear to have been fashioned into pendants",FALSE,Carditamera affinis,Bahía de Los Ángeles,Angeles Bay
NA,"Chione succincta, a junior synonym",NA,one of the most common bivalves in the Gulf,FALSE,Chione californiensis,Bahía de Los Ángeles,Angeles Bay
NA,"Macrocallista squalida, a junior synonym",NA,"one of two species called “chocolata clam,” or “almeja chocolata,” in the Gulf",FALSE,Megapitaria squalida,Bahía de Los Ángeles,Angeles Bay
NA,"Protothaca grata, a junior synonym",NA,NA,FALSE,Leukoma grata,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,initially identified by H. Rehder as an undescribed species he intended to name M. rickettsi,FALSE,Macoma indentata,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,probably a misidentification; there are no Paphia known to occur in the Gulf,TRUE,Paphia-like form,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Terebra variegata,Bahía de Los Ángeles,Angeles Bay
NA,"Strigatella dolorosa, a junior synonym",NA,NA,FALSE,Migtra tristis,Bahía de Los Ángeles,Angeles Bay
NA,"Nassarius tegula, a junior synonym",NA,NA,FALSE,Nassarius tiarula,Bahía de Los Ángeles,Angeles Bay
NA,Anachis coronata,NA,NA,FALSE,Costoanachis coronata,Bahía de Los Ángeles,Angeles Bay
NA,"Nitidella guttata, a junior synonym",NA,"this species, one of the most common small snails in the Gulf, is considered a synonym of Mitrella/Columbella ocellata by some workers, but the latter is a trans-Atlantic species",FALSE,Mitrella guttata,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Acanthina lugubris,Bahía de Los Ángeles,Angeles Bay
NA,"Thais tuberculata, a junior synonym",NA,NA,FALSE,Mancinella tuberculata,Bahía de Los Ángeles,Angeles Bay
NA,"Cerithium sculptum, a junior synonym",USNM,the “small turret-snails” of the Narrative; one of the most common small snails in the Gulf,FALSE,Liocerithium judithae,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,slipper shell,FALSE,Crepidula onyx,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Crucibulum spinosum,Bahía de Los Ángeles,Angeles Bay
NA,"Polinices reclusianus, a junior synonym of Polinices reclusiana, misspelled in the Narrative",NA,NA,FALSE,Neverita reclusiana,Bahía de Los Ángeles,Angeles Bay
NA,"Acmaea daliana, a junior synonym",NA,NA,FALSE,Lottia dalliana,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Tegula impressa,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,unidentified slug,FALSE,Pleurobranchidae,Bahía de Los Ángeles,Angeles Bay
NA,Onchidium lesliei in Phyletic Catalogue,NA,"this species is very similar to Onchidella binneyi, and this identification needs verification",FALSE,Hoffmannola lesliei,Bahía de Los Ángeles,Angeles Bay
NA,NA,CAS,NA,FALSE,Berthellina engeli,Bahía de Los Ángeles,Angeles Bay
NA,NA,CAS,NA,FALSE,Onchidella binneyi,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Octopus bimaculatus,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,not O. bimaculatus; there are 9 species of Octopus in the Gulf,FALSE,Octopus sp.,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,acorn worm,FALSE,Balanoglossus sp.,Bahía de Los Ángeles,Angeles Bay
NA,"Amaroucium californicum, a wide-ranging east Pacific compound tunicate; the tunicates of the Gulf of California have not yet been carefully studied",NA,NA,FALSE,Aplidium californicum,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,NA,FALSE,Didemnum carnulentum,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,"S&R speculated that this might be an undescribed species; 2 Eudistoma species are currently known from the Gulf, E. mexicanum and E. psammion",FALSE,Eudistoma sp.,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,the common Gulf lancelet,FALSE,Branchiostoma californiense,Bahía de Los Ángeles,Angeles Bay
NA,NA,USNM,cerianthid anemone,FALSE,Botruanthus benedeni,Bahía de Los Ángeles,Angeles Bay
NA,NA,NA,the “long turreted snails carrying commensal anemones on their shells” of the Narrative,TRUE,Anthothoe carcinophila,Bahía de Los Ángeles,Angeles Bay
